name,latitude,longitude,tag,score
가락변전소,37.4947762,127.1184572,변전소,1
가양변전소,37.5705511,126.836565,변전소,1
강남변전소,37.5117201,127.0649991,변전소,1
강동변전소,37.5368167,127.1506209,변전소,1
개포변전소,37.4837996,127.073679,변전소,1
계양변전소,37.57119,126.7384829,변전소,1
고강변전소,37.5394276,126.817394,변전소,1
고양변전소,37.6634195,126.8182768,변전소,1
과천변전소,37.4257692,127.0022774,변전소,1
관교변전소,37.4390978,126.7025407,변전소,1
관양변전소,37.4004304,126.9544671,변전소,1
광장변전소,37.5459113,127.0983749,변전소,1
교대변전소,37.4858239,127.0123696,변전소,1
구공변전소,37.477293,126.8775223,변전소,1
구로변전소,37.498073,126.8831182,변전소,1
구리변전소,37.6031892,127.145252,변전소,1
구의변전소,37.5358559,127.0956959,변전소,1
군자변전소,37.5598423,127.0564971,변전소,1
노들변전소,37.5156285,126.9214323,변전소,1
노량진변전소,37.5138436,126.9457478,변전소,1
노원변전소,37.6282767,127.0586435,변전소,1
녹번변전소,37.6038632,126.9230994,변전소,1
논일변전소,37.5116784,127.0225828,변전소,1
논현변전소,37.5196202,127.0341401,변전소,1
능곡변전소,37.6189664,126.8425549,변전소,1
대림변전소,37.5006803,126.9090554,변전소,1
대방변전소,37.4720557,126.9170509,변전소,1
대치변전소,37.5060546,127.0563712,변전소,1
덕이변전소,37.6874002,126.7321484,변전소,1
도곡변전소,37.4883083,127.0541016,변전소,1
도당변전소,37.507312,126.7871712,변전소,1
도림변전소,37.4233311,126.7542887,변전소,1
도봉변전소,37.6977639,127.0544789,변전소,1
독산변전소,37.4725687,126.8979988,변전소,1
돈암변전소,37.590883,127.0107834,변전소,1
동남변전소,37.4760873,127.131884,변전소,1
동빙고변전소,37.5232208,126.9737821,변전소,1
동서울 변전소,37.5100065,127.1669263,변전소,1
동서울 변전소,37.5084649,127.1667081,변전소,1
등촌변전소,37.551426,126.8650558,변전소,1
뚝도변전소,37.5364118,127.0695432,변전소,1
마곡변전소,37.5563331,126.821286,변전소,1
마장변전소,37.5680788,127.0332427,변전소,1
마포변전소,37.5420315,126.9465674,변전소,1
만수변전소,37.4416349,126.7318307,변전소,1
목동변전소,37.519908,126.8688545,변전소,1
문래변전소,37.5200301,126.8939354,변전소,1
미금변전소,37.5948624,127.184559,변전소,1
미아변전소,37.6139659,127.0284817,변전소,1
반포변전소,37.5163332,127.0088562,변전소,1
방산변전소,37.5657436,126.9990474,변전소,1
방학변전소,37.6827952,127.0464713,변전소,1
보광변전소,37.5238207,126.9963155,변전소,1
봉천변전소,37.4819792,126.9515358,변전소,1
부개변전소,37.4856922,126.731557,변전소,1
부천변전소,37.5065642,126.7863091,변전소,1
불광변전소,37.6475729,126.9184425,변전소,1
사당변전소,37.4758208,126.984411,변전소,1
산성변전소,37.4618691,127.1541575,변전소,1
상계변전소,37.6543701,127.0554767,변전소,1
상봉변전소,37.5928015,127.080461,변전소,1
상암변전소,37.5807426,126.877905,변전소,1
상일변전소,37.5477957,127.1769908,변전소,1
서대문변전소,37.564261,126.9682969,변전소,1
서초변전소,37.4941631,127.0124603,변전소,1
석촌변전소,37.5137514,127.1045611,변전소,1
선릉변전소,37.5114431,127.0581983,변전소,1
성동변전소,37.5677353,127.0397172,변전소,1
성수변전소,37.5467351,127.0507033,변전소,1
성수변전소,37.5471772,127.0643924,변전소,1
성현변전소,37.4269128,127.1623886,변전소,1
세종로변전소,37.5732242,126.974871,변전소,1
소래변전소,37.4616529,126.7897126,변전소,1
송파변전소,37.5088506,127.1192487,변전소,1
송포변전소,37.6856416,126.7613789,변전소,1
수색변전소,37.5834836,126.8988531,변전소,1
수서변전소,37.4861362,127.1077233,변전소,1
순화변전소,37.5608054,126.9713022,변전소,1
시흥변전소,37.4501494,126.897188,변전소,1
신광명변전소,37.4594878,126.8509738,변전소,1
신길변전소,37.4910233,126.9222271,변전소,1
신내변전소,37.6107947,127.0953571,변전소,1
신당변전소,37.5668305,127.0163451,변전소,1
신림변전소,37.4663951,126.9549847,변전소,1
신부평변전소,37.5172276,126.7295104,변전소,1
신사변전소,37.525079,127.0334909,변전소,1
신양재변전소,37.4852226,127.0275647,변전소,1
