grid_id,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
1,37.521431,126.967097,37.521205,126.966813,37.521656,126.967381
2,37.521431,126.967665,37.521205,126.967381,37.521656,126.967949
3,37.521881,126.966529,37.521656,126.966245,37.522106,126.966813
4,37.521881,126.967097,37.521656,126.966813,37.522106,126.967381
5,37.521881,126.967665,37.521656,126.967381,37.522106,126.967949
6,37.522331,126.965961,37.522106,126.965676,37.522557,126.966245
7,37.522331,126.966529,37.522106,126.966245,37.522557,126.966813
8,37.522331,126.967097,37.522106,126.966813,37.522557,126.967381
9,37.522331,126.967665,37.522106,126.967381,37.522557,126.967949
10,37.522782,126.965392,37.522557,126.965108,37.523007,126.965676
11,37.522782,126.965961,37.522557,126.965676,37.523007,126.966245
12,37.522782,126.966529,37.522557,126.966245,37.523007,126.966813
13,37.522782,126.967097,37.522557,126.966813,37.523007,126.967381
14,37.522782,126.967665,37.522557,126.967381,37.523007,126.967949
15,37.523232,126.964824,37.523007,126.96454,37.523458,126.965108
16,37.523232,126.965392,37.523007,126.965108,37.523458,126.965676
17,37.523232,126.965961,37.523007,126.965676,37.523458,126.966245
18,37.523232,126.966529,37.523007,126.966245,37.523458,126.966813
19,37.523232,126.967097,37.523007,126.966813,37.523458,126.967381
20,37.523232,126.967665,37.523007,126.967381,37.523458,126.967949
21,37.523683,126.964256,37.523458,126.963972,37.523908,126.96454
22,37.523683,126.964824,37.523458,126.96454,37.523908,126.965108
23,37.523683,126.965392,37.523458,126.965108,37.523908,126.965676
24,37.523683,126.965961,37.523458,126.965676,37.523908,126.966245
25,37.523683,126.966529,37.523458,126.966245,37.523908,126.966813
26,37.523683,126.967097,37.523458,126.966813,37.523908,126.967381
27,37.523683,126.967665,37.523458,126.967381,37.523908,126.967949
28,37.524133,126.963688,37.523908,126.963404,37.524358,126.963972
29,37.524133,126.964256,37.523908,126.963972,37.524358,126.96454
30,37.524133,126.964824,37.523908,126.96454,37.524358,126.965108
31,37.524133,126.965392,37.523908,126.965108,37.524358,126.965676
32,37.524133,126.965961,37.523908,126.965676,37.524358,126.966245
33,37.524133,126.966529,37.523908,126.966245,37.524358,126.966813
34,37.524133,126.967097,37.523908,126.966813,37.524358,126.967381
35,37.524133,126.967665,37.523908,126.967381,37.524358,126.967949
36,37.524584,126.962551,37.524358,126.962267,37.524809,126.962835
37,37.524584,126.963119,37.524358,126.962835,37.524809,126.963404
38,37.524584,126.963688,37.524358,126.963404,37.524809,126.963972
39,37.524584,126.964256,37.524358,126.963972,37.524809,126.96454
40,37.524584,126.964824,37.524358,126.96454,37.524809,126.965108
41,37.524584,126.965392,37.524358,126.965108,37.524809,126.965676
42,37.524584,126.965961,37.524358,126.965676,37.524809,126.966245
43,37.524584,126.966529,37.524358,126.966245,37.524809,126.966813
44,37.524584,126.967097,37.524358,126.966813,37.524809,126.967381
45,37.524584,126.967665,37.524358,126.967381,37.524809,126.967949
46,37.525034,126.961983,37.524809,126.961699,37.525259,126.962267
47,37.525034,126.962551,37.524809,126.962267,37.525259,126.962835
48,37.525034,126.963119,37.524809,126.962835,37.525259,126.963404
49,37.525034,126.963688,37.524809,126.963404,37.525259,126.963972
50,37.525034,126.964256,37.524809,126.963972,37.525259,126.96454
51,37.525034,126.964824,37.524809,126.96454,37.525259,126.965108
52,37.525034,126.965392,37.524809,126.965108,37.525259,126.965676
53,37.525034,126.965961,37.524809,126.965676,37.525259,126.966245
54,37.525034,126.966529,37.524809,126.966245,37.525259,126.966813
55,37.525034,126.967097,37.524809,126.966813,37.525259,126.967381
56,37.525034,126.967665,37.524809,126.967381,37.525259,126.967949
57,37.525485,126.961415,37.525259,126.961131,37.52571,126.961699
58,37.525485,126.961983,37.525259,126.961699,37.52571,126.962267
59,37.525485,126.962551,37.525259,126.962267,37.52571,126.962835
60,37.525485,126.963119,37.525259,126.962835,37.52571,126.963404
