grid_id,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
1,37.45626,126.909109,37.456035,126.908825,37.456486,126.909393
2,37.45626,126.909677,37.456035,126.909393,37.456486,126.909961
3,37.45626,126.910245,37.456035,126.909961,37.456486,126.910528
4,37.45626,126.910812,37.456035,126.910528,37.456486,126.911096
5,37.45626,126.91138,37.456035,126.911096,37.456486,126.911664
6,37.45626,126.911947,37.456035,126.911664,37.456486,126.912231
7,37.45626,126.912515,37.456035,126.912231,37.456486,126.912799
8,37.45626,126.913083,37.456035,126.912799,37.456486,126.913367
9,37.45626,126.91365,37.456035,126.913367,37.456486,126.913934
10,37.45626,126.914218,37.456035,126.913934,37.456486,126.914502
11,37.45626,126.914786,37.456035,126.914502,37.456486,126.91507
12,37.45626,126.915353,37.456035,126.91507,37.456486,126.915637
13,37.456711,126.896621,37.456486,126.896337,37.456936,126.896905
14,37.456711,126.897189,37.456486,126.896905,37.456936,126.897473
15,37.456711,126.897756,37.456486,126.897473,37.456936,126.89804
16,37.456711,126.898324,37.456486,126.89804,37.456936,126.898608
17,37.456711,126.898892,37.456486,126.898608,37.456936,126.899176
18,37.456711,126.899459,37.456486,126.899176,37.456936,126.899743
19,37.456711,126.900027,37.456486,126.899743,37.456936,126.900311
20,37.456711,126.900595,37.456486,126.900311,37.456936,126.900878
21,37.456711,126.901162,37.456486,126.900878,37.456936,126.901446
22,37.456711,126.90173,37.456486,126.901446,37.456936,126.902014
23,37.456711,126.902298,37.456486,126.902014,37.456936,126.902581
24,37.456711,126.902865,37.456486,126.902581,37.456936,126.903149
25,37.456711,126.903433,37.456486,126.903149,37.456936,126.903717
26,37.456711,126.904,37.456486,126.903717,37.456936,126.904284
27,37.456711,126.904568,37.456486,126.904284,37.456936,126.904852
28,37.456711,126.905136,37.456486,126.904852,37.456936,126.90542
29,37.456711,126.905703,37.456486,126.90542,37.456936,126.905987
30,37.456711,126.906271,37.456486,126.905987,37.456936,126.906555
31,37.456711,126.906839,37.456486,126.906555,37.456936,126.907123
32,37.456711,126.907406,37.456486,126.907123,37.456936,126.90769
33,37.456711,126.907974,37.456486,126.90769,37.456936,126.908258
34,37.456711,126.908542,37.456486,126.908258,37.456936,126.908825
35,37.456711,126.909109,37.456486,126.908825,37.456936,126.909393
36,37.456711,126.909677,37.456486,126.909393,37.456936,126.909961
