연도,시도,자치구,학교급,설립구분,학교,우편번호,주소,경도,위도
2014,서울특별시,종로구,유치원,공립,서울명신초등학교병설유치원,110861,서울특별시 종로구 낙산길 250,127.0138272,37.58103432
2014,서울특별시,종로구,유치원,공립,서울숭신초등학교병설유치원,110552,서울특별시 종로구 종로58길 30,127.0178861,37.57169165
2014,서울특별시,종로구,유치원,공립,서울재동초등학교병설유치원,110260,서울특별시 종로구 북촌로4길 7,126.9857474,37.57990699
2014,서울특별시,종로구,유치원,공립,서울창신초등학교병설유치원,110838,서울특별시 종로구 지봉로 73,127.0142939,37.57621187
2014,서울특별시,종로구,유치원,공립,서울혜화초등학교병설유치원,110530,서울특별시 종로구 혜화로 32,127.0002159,37.58918873
2014,서울특별시,종로구,유치원,사립,배화여자대학교 부속 배화유치원,110735,서울특별시 종로구 필운대로1길 34,126.9652634,37.57929545
2014,서울특별시,종로구,유치원,사립,봄샘유치원,110126,서울특별시 종로구 율곡로 264,127.006558,37.5734543
2014,서울특별시,종로구,유치원,사립,상명사대부속유치원,120841,서울특별시 종로구 홍지문2길 1,126.9566887,37.60071167
2014,서울특별시,종로구,유치원,사립,세검정유치원,110020,서울특별시 종로구 자하문로 310,126.9589539,37.60000768
2014,서울특별시,종로구,유치원,사립,세종유치원,110044,서울특별시 종로구 사직로8길 9,126.9699888,37.57560998
2014,서울특별시,종로구,유치원,사립,연동유치원,110835,서울특별시 종로구 대학로 3길 9,127.0012537,37.5740535
2014,서울특별시,종로구,유치원,사립,옥인유치원,110035,서울특별시 종로구 자하문로 69,126.9703426,37.58222068
2014,서울특별시,종로구,유치원,사립,운현유치원,110350,서울특별시 종로구 삼일대로 460,126.9882953,37.57613692
2014,서울특별시,종로구,유치원,사립,청룡유치원,110862,서울특별시 종로구 동망산길 62,127.0166535,37.57940998
2014,서울특별시,종로구,유치원,사립,하나유치원,110848,서울특별시 종로구 평창길 317,126.9775029,37.61437534
2014,서울특별시,종로구,유치원,사립,한아름유치원,110530,서울특별시 종로구 혜화로6길 80,127.001122,37.59025281
2014,서울특별시,종로구,유치원,사립,혜화유치원,110530,서울특별시 종로구 창경궁로 296,127.0031388,37.58686893
2014,서울특별시,종로구,초등학교,국립,서울대학교사범대학부설초등학교,110500,서울특별시 종로구 대학로 64,127.0029182,37.57778577
2014,서울특별시,종로구,초등학교,공립,서울교동초등학교,110310,서울특별시 종로구 삼일대로 446,126.9882035,37.57475747
2014,서울특별시,종로구,초등학교,공립,서울독립문초등학교,110813,서울특별시 종로구 통일로12길 23,126.960159,37.57412446
