,name,latitude,longitude,tag,score
0,카카오뱅크,37.395455126629855,127.112119228848,금융,1
1,중소기업은행,37.565705488203456,126.98708401736279,금융,1
2,국민은행,37.5193481052768,126.927287230751,금융,1
3,대구은행,35.859108552631845,128.61479146706512,금융,1
4,경남은행,35.2304262172918,128.576951454583,금융,1
5,케이뱅크은행,37.56617738516894,126.99731740671156,금융,1
6,한국스탠다드차타드은행,37.57108113605887,126.98248163064741,금융,1
7,신한은행,37.5611200882823,126.974574809438,금융,1
8,농협은행,37.565769330640116,126.96762569044095,금융,1
9,우리은행,37.55944556203258,126.98175547982937,금융,1
11,부산은행,35.1454371730607,129.066130331507,금융,1
12,한국산업은행,37.52702144174276,126.92090036155321,금융,1
13,수협은행,37.51638161363423,127.10547910392347,금융,1
14,광주은행,35.154978722941294,126.91295575149402,금융,1
15,한국씨티은행,37.56089877883713,126.9811745038567,금융,1
16,하나은행,37.566491371702,126.981866951611,금융,1
17,전북은행,35.83995529167479,127.13174419032471,금융,1
18,제주은행,33.4851182467418,126.479348514379,금융,1
