,교량명,소재지지번주소,교량 위도,교량 경도
8316,여의상류ICBOX,서울특별시 동작구 노량진동 ,37.515159,126.935825
8317,도림교,서울특별시 영등포구 문래동2가 ,37.5106225,126.89121750000001
8318,오류철도고가차도,서울특별시 구로구 오류동 ,37.4930795,126.83729199999999
8319,개화교,서울특별시 강서구 개화동 ,37.583425500000004,126.798216
8320,행주1교,서울특별시 강서구 개화동 ,37.591314499999996,126.7991285
8321,행주2교,서울특별시 강서구 개화동 ,37.592237,126.800134
8322,개봉교,서울특별시 구로구 개봉동 ,37.485704,126.8565065
8323,광복교,서울특별시 구로구 개봉동 ,37.4927155,126.8665135
8324,구로1교,서울특별시 영등포구 대림동 ,37.4875,126.897701
8325,오금교,서울특별시 양천구 신정동 ,37.5085225,126.8735825
8326,광명교,서울특별시 구로구 천왕동 ,37.481669499999995,126.8467125
8327,목동교,서울특별시 양천구 목동 ,37.530859,126.88785949999999
8328,개봉철도고가차도교,서울특별시 구로구 개봉동 ,37.496005,126.8505035
8329,여의하류2교,서울특별시 영등포구 여의도동 ,37.532358,126.910014
8330,구일고가차도교,서울특별시 구로구 구로동 ,37.4925385,126.8727265
8331,가리봉철도고가교,서울특별시 구로구 구로동 ,37.4857795,126.880723
8332,신월IC교,서울특별시 양천구 신월동 ,37.52556,126.834873
8333,목동교동측I.C,서울특별시 영등포구 양평동3가 ,37.531037,126.8912165
8334,가마산고가차도,서울특별시 구로구 구로동 ,37.492621,126.88259199999999
8335,개봉고가차도,서울특별시 구로구 개봉동 ,37.4933835,126.856146
8336,구로공단 I.C,서울특별시 구로구 구로동 ,37.486825499999995,126.879222
8337,시흥I.C,서울특별시 관악구 신림동 ,37.478961,126.89898600000001
8339,신정교접속교,서울특별시 영등포구 문래동5가 ,37.516136,126.88231099999999
8340,역곡천교,서울특별시 구로구 항동 ,37.4789785,126.821492
8341,행주IC교,서울특별시 강서구 개화동 ,37.592116000000004,126.80358949999999
8342,오금교접속교,서울특별시 구로구 구로동 ,37.5065855,126.8756355
8343,오류IC,서울특별시 구로구 개봉동 ,37.4981505,126.84855300000001
8344,도림천하류복개구조물,서울특별시 영등포구 문래동5가 ,37.5158945,126.8830045
8345,철산교,서울특별시 금천구 가산동 ,37.4748895,126.8771975
8346,기아대교,서울특별시 금천구 시흥동 ,37.4387,126.9010595
8348,반포교,서울특별시 서초구 반포동 ,37.5000785,126.98516000000001
8349,관악도림교,서울특별시 관악구 신림동 ,37.4897065,126.91939550000001
8350,이수교,서울특별시 서초구 반포동 ,37.500060000000005,126.9851545
8351,사방교,서울특별시 서초구 방배동 ,37.4855895,126.98348899999999
8352,신사고가교,서울특별시 서초구 잠원동 ,37.5217975,127.017769
8353,노들,서울특별시 동작구 본동 ,37.513448499999996,126.9561035
8354,도림고가차도,서울특별시 영등포구 영등포동 ,37.511472499999996,126.8982345
8356,수출의다리고가차도,서울특별시 금천구 가산동 ,37.476856,126.8843335
8357,강남터미널고가교,서울특별시 서초구 반포동 ,37.5053105,127.0012245
8359,여의교,서울특별시 영등포구 여의도동 ,37.515819,126.92764700000001
8361,여의상류샛강IC2교,서울특별시 영등포구 여의도동 ,37.516754,126.940609
8362,구로교,서울특별시 구로구 구로동 ,37.485068,126.903192
8363,봉림교,서울특별시 관악구 신림동 ,37.4838635,126.92628450000001
8364,여의상류IC본교박스,서울특별시 영등포구 여의도동 ,37.516879,126.940722
8365,주흥교고가차도,서울특별시 서초구 잠원동 ,37.509545,127.016079
8366,신길고가차도,서울특별시 영등포구 신길동 ,37.5171175,126.91671600000001
8367,동방1교,서울특별시 관악구 신림동 ,37.471681000000004,126.934044
8368,영동5교,서울특별시 강남구 개포동 ,37.489955,127.06562600000001
8369,탄천2교,서울특별시 송파구 잠실동 ,37.5027965,127.07303
8370,삼성교,서울특별시 송파구 잠실동 ,37.5103405,127.0689345
8371,세곡3교,서울특별시 강남구 세곡동 ,37.4622775,127.107939
8372,광평교,서울특별시 송파구 가락동 ,37.489196,127.10768
8373,탄천교,서울특별시 송파구 가락동 ,37.493652499999996,127.101913
8374,방이고가,서울특별시 송파구 오금동 ,37.504827,127.1236205
8375,서부교,서울특별시 송파구 방이동 ,37.5141275,127.14264700000001
8376,성내유수지교,서울특별시 송파구 방이동 ,37.525778,127.120233
8377,성내5교,서울특별시 송파구 오금동 ,37.501563000000004,127.13748
8378,오륜교,서울특별시 송파구 방이동 ,37.5170815,127.13149
8379,대곡교,서울특별시 강남구 세곡동 ,37.468697,127.1224085
8380,복정2교,서울특별시 송파구 장지동 ,37.4697555,127.12447
8381,장지1교,서울특별시 송파구 장지동 ,37.476234,127.1270415
8382,성내교,서울특별시 송파구 신천동 ,37.523905,127.1166295
8383,상일2교,서울특별시 강동구 상일동 ,37.54715950000001,127.17402999999999
8384,고덕교,서울특별시 강동구 강일동 ,37.563339,127.17272249999999
8385,여의천교,서울특별시 서초구 염곡동 ,37.4590465,127.048749
8386,강일육교,서울특별시 강동구 강일동 ,37.5574465,127.1757345
8387,버들2교,서울특별시 송파구 장지동 ,37.47775,127.11855600000001
8388,세곡1교,서울특별시 강남구 세곡동 ,37.4654135,127.100629
8389,진형교,서울특별시 종로구 평창동 ,37.606502,126.969544
8390,세검1교,서울특별시 종로구 홍지동 ,37.6008955,126.9593405
8391,배오개다리,서울특별시 종로구 예지동 ,37.568905,126.997927
8392,세운교,서울특별시 종로구 장사동 ,37.568585,126.9953105
8393,마전교,서울특별시 종로구 종로5가 ,37.5696245,127.00205500000001
8394,버들다리,서울특별시 종로구 종로5가 ,37.569689999999994,127.006693
8395,북악스카이웨이2교,서울특별시 종로구 부암동 ,37.5971315,126.9703325
8396,북악스카이웨이3교,서울특별시 종로구 부암동 ,37.592599,126.9662605
8397,영도교,서울특별시 종로구 창신동 ,37.57109,127.0189775
8398,다산교,서울특별시 종로구 창신동 ,37.5698435,127.0158275
8399,오간수교,서울특별시 중구 을지로6가 ,37.569782000000004,127.00969549999999
8400,길음교,서울특별시 성북구 돈암동 ,37.601755499999996,127.0220765
8401,안암2교,서울특별시 성북구 안암동4가 ,37.579186500000006,127.02440250000001
8402,보문3교,서울특별시 성북구 안암동1가 ,37.5858815,127.02088599999999
8403,월곡교,서울특별시 성북구 하월곡동 ,37.602524,127.038577
8404,북악스카이웨이4교,서울특별시 성북구 성북동 ,37.602063,126.9973455
8405,화랑교,서울특별시 성북구 종암동 ,37.602607000000006,127.03558000000001
8406,돈암차도육교,서울특별시 성북구 돈암동 ,37.5981515,127.02107649999999
8407,동선고가차도,서울특별시 성북구 동선동3가 ,37.5951675,127.01985400000001
8408,북악스카이웨이1교,서울특별시 성북구 정릉동 ,37.601177,127.01124250000001
8409,월계2교,서울특별시 노원구 월계동 ,37.6244325,127.050015
8410,제3우이교,서울특별시 도봉구 창동 ,37.636919500000005,127.0364605
8411,빨래골교,서울특별시 강북구 수유동 ,37.628121,127.012535
8412,쌍문교,서울특별시 도봉구 쌍문동 ,37.646638499999995,127.0251725
8413,도봉교,서울특별시 도봉구 도봉동 ,37.680887999999996,127.04553849999999
8414,방학교,서울특별시 도봉구 방학동 ,37.6618155,127.04226700000001
8415,문이교,서울특별시 도봉구 쌍문동 ,37.6576775,127.01455250000001
8416,도봉제1교,서울특별시 도봉구 도봉동 ,37.6797095,127.04989599999999
8417,모래말다리,서울특별시 도봉구 방학동 ,37.662009499999996,127.04669849999999
8418,우이교,서울특별시 도봉구 창동 ,37.642867499999994,127.030958
8419,묵동교,서울특별시 중랑구 묵동 ,37.617165,127.075849
8420,노원교,서울특별시 노원구 상계동 ,37.679004,127.050862
8421,녹천교,서울특별시 도봉구 창동 ,37.6457755,127.05577149999999
8422,당현2교,서울특별시 노원구 중계동 ,37.6503685,127.0686675
