,터널명,터널종류,위도,경도
875,신월여의지하도로,도로터널,37.5251835,126.88003
877,궁동터널,도로터널,37.5064985,126.830987
878,화곡터널,도로터널,37.5362085,126.84406150000001
880,작동터널,도로터널,37.505989,126.823057
881,가마산지하차도,지하차도,37.488524999999996,126.880406
882,개봉지하차도,지하차도,37.493624999999994,126.857707
883,개화지하차도,지하차도,37.567582,126.805248
884,경인철도횡단지하차도,지하차도,37.496767,126.87115
885,고척2지하차도,지하차도,37.499784000000005,126.868955
886,고척지하차도,지하차도,37.4989165,126.871908
887,공항입구지하차도,지하차도,37.56165,126.807162
888,구로역지하차도,지하차도,37.5018625,126.881219
889,구로지하차도,지하차도,37.5030485,126.879877
890,국회앞지하차도,지하차도,37.524838,126.92101199999999
891,노들길지하차도,지하차도,37.5199935,126.9153665
892,등촌지하차도,지하차도,37.5178075,126.867795
893,목동교동측지하차도,지하차도,37.5304385,126.889888
894,목동교서측지하차도,지하차도,37.530437500000005,126.8899245
895,서부트럭터미널앞 지하차도,지하차도,37.514946,126.8403495
896,서울교접속지하보차도,지하차도,37.519655,126.91453
897,성산지하차도,지하차도,37.5459845,126.8902485
898,신도림지하차도,지하차도,37.5056835,126.8864695
899,신정교동측지하차도,지하차도,37.5161155,126.8821915
900,오금지하차도,지하차도,37.5096475,126.8725485
901,오목교동측지하보차도,지하차도,37.523538,126.881941
902,오목교서측지하차도,지하차도,37.524153999999996,126.878005
903,오목지하차도,지하차도,37.525178499999996,126.870817
904,외발산지하차도,지하차도,37.550432,126.817894
905,여의2지하차도,지하차도,37.525709500000005,126.911064
906,여의하류지하차도,지하차도,37.532112,126.90938750000001
907,오금교동측지하차도,지하차도,37.507332000000005,126.8747465
908,오목교동측지하차도,지하차도,37.523646,126.8815505
909,범박터널,도로터널,37.4735955,126.8156805
910,산복터널,도로터널,37.457008,126.9208345
912,호암1터널,도로터널,37.445565,126.9177955
914,호암2터널,도로터널,37.440234000000004,126.915581
916,상도터널,도로터널,37.508294,126.951844
918,난곡터널,도로터널,37.478761500000005,126.9220495
920,국사봉,도로터널,37.4926965,126.943715
923,호암길 지하차도,지하차도,37.4507035,126.92104900000001
924,잠수교남측지하차도,지하차도,37.5097285,126.998842
925,대방지하차도,지하차도,37.513041,126.925752
926,동작지하차도,지하차도,37.502004,126.9796785
927,사평지하차도,지하차도,37.502027999999996,127.003277
928,선암지하차도,지하차도,37.459787000000006,127.020667
929,신길지하차도,지하차도,37.5045545,126.9155395
930,양재지하차도,지하차도,37.484569,127.034047
931,여의교지하차도,지하차도,37.5147125,126.9270075
932,염곡지하차도,지하차도,37.465655999999996,127.0430585
933,영등포지하차도,지하차도,37.516671,126.9123675
934,호암로지하차도,지하차도,37.450697,126.9210445
935,매헌지하차도,지하차도,37.461501,127.0354365
936,서리풀터널,도로터널,37.489606,127.000141
937,일원터널,도로터널,37.483701499999995,127.0765165
938,매봉터널,도로터널,37.4913325,127.048422
939,가락지하차도,지하차도,37.495858,127.1090465
940,송파지하차도,지하차도,37.497529,127.1141375
941,천호지하차도,지하차도,37.538939,127.1233035
942,대치지하차도,지하차도,37.4993465,127.0804215
943,내곡지하차도,지하차도,37.4603515,127.0532825
944,신원박스지하차도,지하차도,37.458726999999996,127.04716350000001
945,신원지하차도,지하차도,37.4584715,127.0447925
946,석촌지하차도,지하차도,37.5034775,127.1022155
947,위례지하보차도,지하차도,37.5054435,127.14488399999999
948,위례중앙지하차도,지하차도,37.475575,127.12806599999999
949,청계산지하차도,지하차도,37.458510000000004,127.03965550000001
950,문정지하차도,지하차도,37.4833835,127.114003
951,위례지하차도,지하차도,37.474148,127.142191
952,위례터널,지하차도,37.46485,127.126643
953,구기터널,도로터널,37.609556999999995,126.95138
955,삼청터널,도로터널,37.5946795,126.982902
956,자하문터널,도로터널,37.591353999999995,126.96555599999999
958,사직터널,도로터널,37.573139,126.9645545
960,동망봉터널,도로터널,37.5824145,127.01640599999999
961,북악터널,도로터널,37.6116425,126.98503
963,솔샘터널,도로터널,37.61815300000001,127.0088125
964,공릉터널,도로터널,37.635575,127.08137500000001
965,방학지하차도,지하차도,37.662828000000005,127.0446795
966,하계지하차도,지하차도,37.6315685,127.0702105
967,솔샘지하차도,지하차도,37.6137595,127.0085615
968,정릉지하차도,지하차도,37.6113195,126.993196
969,담터지하차도,지하차도,37.641502,127.111151
970,인수봉로지하차도,지하차도,37.626684999999995,127.012226
971,창동지하차도,지하차도,37.651818,127.048546
972,월계지하차도,지하차도,37.6303965,127.05919850000001
973,"월계2,3지하차도",지하차도,37.6316295,127.06216549999999
974,녹천지하차도,지하차도,37.6458475,127.051028
975,율곡터널,도로터널,37.5771465,126.9941135
976,남산1호터널,도로터널,37.548601,126.99766
978,남산2호터널,도로터널,37.5498985,126.996246
979,남산3호터널,도로터널,37.55015,126.98589100000001
980,금화터널,도로터널,37.5700595,126.9517785
981,월드컵터널,도로터널,37.571764,126.8971145
982,남산2호터널입구지하차도,지하차도,37.5427305,126.988349
983,모래내지하차도,지하차도,37.568154500000006,126.916184
984,서빙고지하차도,지하차도,37.519665,126.992469
986,신사지하차도,지하차도,37.598515000000006,126.905856
987,의주로 지하차도,지하차도,37.55959,126.9713315
988,이태원지하차도,지하차도,37.534262,126.9877895
989,잠수교 북단 지하차도,지하차도,37.5203585,126.99398099999999
990,연희지하차도,지하차도,37.576746,126.934338
991,증산지하차도,지하차도,37.576429000000005,126.901725
992,퇴계로 지하차도,지하차도,37.5611045,126.989146
993,월드컵 지하차도,지하차도,37.567598000000004,126.89354349999999
994,금호터널,도로터널,37.5505395,127.0143015
996,옥수터널,도로터널,37.5453945,127.016784
